time,accX,accY,accZ,pitch,roll,yaw
26.866667,0.006912,0.004456,-0.988190,-0.002635,-0.001309,0.002388
26.970000,0.009888,0.004471,-0.989075,0.003633,-0.003637,-0.003429
27.073333,0.007858,0.001526,-0.990082,0.003513,-0.008355,0.001155
27.176667,0.008057,0.009354,-0.990128,0.001363,0.001208,-0.008013
27.280000,0.004913,0.003464,-0.988236,-0.001208,0.008387,-0.003335
27.383333,0.005096,0.004318,-0.996018,-0.002266,0.001192,-0.009190
27.486667,0.005005,0.005402,-0.990189,-0.003475,0.001312,-0.008031
27.590000,0.005966,0.004425,-0.990158,-0.002407,-0.003394,-0.002284
27.693333,0.008011,0.007401,-0.990112,-0.004697,0.002500,-0.008028
27.796667,0.007004,0.005417,-0.991089,-0.001306,0.001538,0.003586
27.900000,0.007812,0.000549,-0.989090,0.006044,0.001539,0.002470
28.003333,0.009888,0.002502,-0.990997,0.003735,-0.005647,-0.002236
28.106667,0.004959,0.001434,-0.993073,0.006030,-0.010230,0.004717
28.210000,0.006912,0.004456,-0.988190,-0.001140,-0.001963,-0.001033
28.313333,0.010818,0.001556,-0.989029,0.003612,0.000466,0.003643
28.416667,0.006027,0.005386,-0.992096,-0.009865,-0.000618,0.007069
28.520000,0.005081,0.005341,-0.994064,-0.004889,-0.006592,0.003572
28.623333,0.004959,0.002426,-0.992111,0.000165,0.004063,-0.003245
28.726667,0.006027,0.005386,-0.992096,0.001262,0.003022,0.002583
28.830000,0.003922,0.003464,-0.988251,-0.008571,-0.017192,0.005816
28.933333,0.007019,0.005402,-0.992065,0.003573,0.006637,0.007256
29.036667,0.004990,0.003418,-0.992111,-0.004615,-0.007672,-0.004440
29.140000,0.008011,0.003418,-0.994934,-0.002154,0.003031,-0.005486
29.243333,0.005997,0.004395,-0.992096,-0.008176,0.006577,-0.008935
29.346667,0.005997,0.005417,-0.990158,0.000152,-0.002857,-0.000876
29.450000,0.008835,0.004517,-0.985214,0.002567,-0.009983,0.000230
29.553333,0.004868,0.003494,-0.986282,0.006092,0.001965,0.004985
29.656667,0.003906,0.001480,-0.990189,0.006111,-0.002789,0.003804
29.760000,0.005859,0.001495,-0.989166,-0.007213,-0.002841,0.000259
29.863333,0.008804,0.000565,-0.988113,0.003873,-0.002851,-0.004289
29.966667,0.009979,0.005432,-0.991989,0.007391,0.016237,0.000531
30.070000,0.008850,0.004501,-0.986191,-0.004601,-0.006455,-0.006683
30.173333,0.003937,0.002457,-0.990189,0.018379,0.022208,-0.000496
30.276667,0.016403,-0.007080,-0.982010,0.027916,0.025866,0.007688
30.380000,0.063400,0.004120,-0.989563,0.050730,0.047438,0.020736
30.483333,0.033478,-0.006058,-0.992233,0.007700,-0.004836,0.033920
30.586667,0.131699,-0.000015,-0.989654,-0.008318,-0.018755,-0.187266
30.690000,0.111908,0.020584,-0.967010,-0.015578,-0.004098,-0.144367
30.793333,0.159317,0.004318,-0.979233,-0.022949,0.031240,-0.052676
30.896667,0.083313,0.014206,-0.987976,0.007795,0.073253,-0.017417
31.000000,0.055954,0.045166,-0.992920,-0.023873,-0.000160,0.028018
31.103333,0.023483,-0.049179,-0.989990,-0.038771,0.049153,0.218132
31.206667,0.023483,-0.049179,-0.987961,-0.050234,-0.072099,0.102433
31.310000,0.023117,-0.008835,-0.987030,0.002789,0.118551,0.121829
31.413333,0.004471,-0.022064,-0.986038,0.019927,0.093985,0.165663
31.516667,0.023849,0.004593,-0.992828,0.021110,0.075326,0.076418
31.620000,-0.026062,-0.001678,-0.988022,0.028364,-0.130833,0.174111
31.723333,0.079498,-0.013107,-0.986008,-0.032187,0.107591,-0.029992
