time,accX,accY,accZ,pitch,roll,yaw
11.500000,0.349490,6.874722,2144.732943,0.040131,0.085142,66529.940097
11.550000,0.352089,6.875243,2154.532198,0.040167,0.085770,66529.943959
11.600000,0.354803,6.875769,2164.331893,0.040202,0.086386,66529.947626
11.650000,0.357610,6.876301,2174.132223,0.040235,0.086986,66529.951101
11.700000,0.360535,6.876830,2183.933217,0.040269,0.087561,66529.954615
11.750000,0.363570,6.877367,2193.735284,0.040302,0.088116,66529.958222
11.800000,0.366686,6.877912,2203.538598,0.040335,0.088649,66529.961891
11.850000,0.369854,6.878454,2213.343143,0.040368,0.089170,66529.965563
11.900000,0.373041,6.878993,2223.149014,0.040403,0.089682,66529.969179
11.950000,0.376248,6.879524,2232.955974,0.040434,0.090188,66529.972690
12.000000,0.379471,6.880041,2242.764014,0.040462,0.090671,66529.976102
12.050000,0.382709,6.880541,2252.573254,0.040489,0.091130,66529.979416
12.100000,0.385963,6.881023,2262.383818,0.040514,0.091564,66529.982634
12.150000,0.389232,6.881486,2272.195865,0.040537,0.091971,66529.985754
12.200000,0.392518,6.881931,2282.009491,0.040559,0.092350,66529.988773
12.250000,0.395819,6.882357,2291.824681,0.040578,0.092701,66529.991691
12.300000,0.399128,6.882767,2301.641633,0.040596,0.093025,66529.994490
12.350000,0.402432,6.883160,2311.460554,0.040613,0.093321,66529.997154
12.400000,0.405702,6.883539,2321.281512,0.040628,0.093591,66529.999607
12.450000,0.408910,6.883901,2331.104181,0.040642,0.093837,66530.001850
12.500000,0.412031,6.884249,2340.929067,0.040656,0.094062,66530.003903
12.550000,0.415020,6.884582,2350.755848,0.040670,0.094263,66530.005703
12.600000,0.417857,6.884904,2360.583691,0.040684,0.094434,66530.007304
12.650000,0.420528,6.885217,2370.412375,0.040698,0.094577,66530.008727
12.700000,0.423022,6.885520,2380.241855,0.040712,0.094706,66530.009939
12.750000,0.425305,6.885811,2390.072248,0.040727,0.094830,66530.010882
12.800000,0.427389,6.886093,2399.903597,0.040741,0.094937,66530.011632
12.850000,0.429259,6.886370,2409.735979,0.040755,0.095026,66530.012153
12.900000,0.430913,6.886641,2419.569551,0.040767,0.095117,66530.012556
12.950000,0.432364,6.886907,2429.404267,0.040775,0.095207,66530.012872
13.000000,0.433639,6.887170,2439.240219,0.040781,0.095283,66530.013146
13.050000,0.434754,6.887424,2449.077360,0.040786,0.095334,66530.013412
13.100000,0.435711,6.887671,2458.915651,0.040791,0.095365,66530.013679
13.150000,0.436550,6.887907,2468.754899,0.040796,0.095392,66530.013935
13.200000,0.437320,6.888131,2478.595008,0.040803,0.095417,66530.014181
13.250000,0.437992,6.888345,2488.436012,0.040813,0.095442,66530.014383
13.300000,0.438608,6.888545,2498.277594,0.040824,0.095465,66530.014511
13.350000,0.439242,6.888732,2508.119228,0.040836,0.095488,66530.014602
